geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US49,Utah,2013-2017,26906.623,99.231018,16842.18,1080.9857,25223.977,616.30243,28085.412,777.87476,19814.52,1108.8513,15682.002,165.60152,28684.193,117.89932,17996.553,872.15918,29437.01,116.93646,17387.711,645.27124,14857.478,437.43005,14607.856,348.194,14156.48,576.95697,28289.799,116.7552
04000US50,Vermont,2005-2009,30889.674,186.80913,22555.594,4454.5151,22168.111,1473.8256,22065.385,1473.5289,17554.15,2318.2454,24772.494,1740.0039,30973.977,190.89674,30632.975,20174.885,31437.348,197.88092,20245.852,5417.3472,26703.219,6279.5483,16668.412,1241.3724,14445.8,856.80872,31391.674,194.10243
04000US50,Vermont,2006-2010,30888.115,191.60138,25039.66,4930.4893,19339.975,1557.3367,19209.766,1566.3119,17404.119,1648.9236,22921.961,1203.1521,31006.666,195.27647,30409.246,15486.355,31546.625,193.89745,19270.438,4944.1973,24225.033,4843.2358,16938.592,1164.5038,15240.41,993.81165,31467.072,191.87289
04000US50,Vermont,2007-2011,30921.98,183.12344,24749.533,6425.5298,18618.207,1204.7955,18659.971,1219.0081,16760.631,1677.5417,22937.768,1331.9624,31044.578,187.0567,16585.504,7506.3325,31634.148,193.23557,18876.535,4629.1172,22419.242,4456.1167,16167.368,1048.3263,14979.955,964.84253,31556.816,189.25969
04000US50,Vermont,2008-2012,30797.121,199.90326,23840.527,5105.7827,20944.805,1355.3402,20995.9,1363.7351,17559.707,1589.6333,23489.123,1574.5333,30909.248,204.403,17843.277,11398.603,31491.32,213.31721,19479.033,4903.4668,21186.154,4035.3562,15847.103,925.89148,14958.408,882.58044,31420.326,211.02724
04000US50,Vermont,2009-2013,30689.375,183.73077,22755.656,5566.1997,22264.41,1684.245,22452.797,1709.4653,17618.807,1555.7927,22234.117,1400.8391,30823.91,187.9803,11971.988,7260.959,31410.197,189.72568,19244.174,4322.2017,20141.521,3829.6917,15395.742,1006.7941,14720.154,1029.9574,31321.813,191.89305
04000US50,Vermont,2010-2014,30580.965,193.99568,19365.457,2881.8025,23308.184,1567.9224,23533.303,1589.6888,17522.424,1431.8621,20598.521,1256.8325,30746.645,198.31557,14682.088,8499.8926,31335.938,201.61003,19045.279,4411.2603,17468.807,3324.1255,15034.737,849.65607,14650.621,841.99261,31231.293,204.16801
04000US50,Vermont,2011-2015,30916.512,192.16747,19023.463,2728.9514,27132.617,2155.155,25084.113,1863.8197,16634.047,1274.9684,21793.078,1225.7292,31074.877,196.65741,99315.633,46576.32,31650.139,199.05417,20174.172,4186.5654,17888.705,3098.7844,15290.451,920.87268,14862.996,950.87488,31553.795,198.22412
04000US50,Vermont,2012-2016,31315.779,194.38084,21545.336,3540.811,27702.084,2284.6252,25937.418,1856.8094,16136.928,1096.9349,21549.795,1435.1902,31488.77,199.45082,106615.16,70529.055,32077.818,203.56387,20465.064,4143.9834,19208.689,2880.4631,15950.662,946.71643,15332.47,993.60034,31970.555,201.1181
04000US50,Vermont,2013-2017,31917.076,218.91695,20115.781,3569.7495,28960.813,2501.2632,27676.178,2225.95,17175.785,1118.1101,21584.529,1377.4677,32105.434,224.31763,89326.211,63428.844,32689.932,222.55762,21258.941,4461.0513,18663.996,3003.7578,16755.527,1001.7004,16407.885,1056.7552,32571.805,220.5817
04000US51,Virginia,2005-2009,36111.309,86.426521,26242.789,1435.3927,37987.227,423.42654,38122.355,425.81223,23962.863,129.92459,23320.365,272.25,37025.285,94.635658,29331.4,3339.0305,41244.18,98.148727,25698.631,328.32343,21665.119,570.93652,20242.455,416.68826,18527.305,611.01642,40407.719,100.21078
04000US51,Virginia,2006-2010,36134.332,107.66582,25186.637,1637.9873,37735.277,427.82422,37799.148,430.85614,23945.215,126.3251,23549.211,227.2608,37130.098,117.57528,33076.852,3389.8833,41523.598,131.10027,25817.074,401.5163,21826.164,585.30231,20555.49,412.3028,19137.482,584.19775,40555.953,135.04912
04000US51,Virginia,2007-2011,36003.84,96.03717,25417.982,1732.9141,37909.832,420.75522,37974.625,424.23492,23897.961,116.28073,23207.436,211.30284,37061.074,105.43385,32645.328,2921.7515,41456.973,110.08736,25779.785,344.56985,20939.201,609.32733,20374.537,464.51859,19820.957,700.27472,40397.883,111.97953
04000US51,Virginia,2008-2012,35579.52,98.010887,25133.93,1600.8906,38218.078,395.03543,38270.695,397.17307,23688.209,135.69685,22672.725,201.32491,36683.746,107.78577,33927.27,3658.0154,41028.734,111.12712,25558.936,345.10214,20498.893,671.43524,19736.123,440.2131,19096.662,584.8476,39892.75,119.6513
04000US51,Virginia,2009-2013,35242.109,90.257065,26712.629,1666.5547,38318.332,456.23886,38371.742,459.80643,23594.514,119.73196,22288.02,210.3829,36390.398,100.01772,33977.477,3422.428,40672.402,106.01122,25444.908,317.14603,19736.004,564.89337,19505.568,409.14594,19331.727,578.00623,39439.105,103.41912
04000US51,Virginia,2010-2014,35160.176,91.310181,26984.672,1650.0806,38390.996,436.17844,38403.027,438.64063,23676.582,105.81813,22319.033,213.39789,36337.211,101.58395,37347.672,4100.6543,40605.004,119.82648,25537.078,329.61716,19434.6,571.37958,19596.148,391.14282,19709.604,530.89343,39308.953,123.93975
04000US51,Virginia,2011-2015,35319.504,89.829109,26477.635,1525.7219,38991.707,362.7258,38998.961,364.36417,24025.191,108.02902,22628.145,225.3781,36511.977,100.53004,38317.52,3769.6208,40733.453,113.61551,25925.84,314.89731,19541.25,541.61035,19949.531,361.61896,20228.336,482.67502,39403.102,118.8315
04000US51,Virginia,2012-2016,35712.18,88.662994,28293.594,1564.8352,39555.016,363.74872,39617.125,366.15616,24625.539,135.70924,22990.521,218.74179,36928.277,99.367653,33869.969,3014.4575,41137.219,97.122429,26428.213,292.14142,19722.879,538.12463,20113.172,379.68173,20379.656,522.82953,39781.77,102.46073
