geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US10,Delaware,2009-2013,28.858742,.25876483,16.41791,2.520467,66.336777,1.2214004,67.678795,1.3190928,19.115122,.51472658,13.71301,.73753309,29.875671,.28054127,2.5641026,1.8536565,31.065279,.29854009,23.757004,1.1008264,14.223845,1.7802516,19.170879,1.3373909,26.629114,2.1317098,30.159283,.2803655
04000US10,Delaware,2010-2014,29.435999,.25933358,16.573816,2.6251142,68.595802,1.0308948,69.609451,1.1174624,20.093035,.59205133,15.125945,.81462932,30.426031,.28294015,7.865169,3.6415591,31.456127,.27355427,24.854603,1.0505378,14.854852,1.4040899,19.042913,1.1506572,25.238586,1.9682415,30.560389,.26290953
04000US10,Delaware,2011-2015,30.004215,.24888262,18.6758,2.886548,68.706093,1.0483646,69.351349,1.0818403,21.024471,.52654248,14.686405,.72833478,31.087303,.2714062,14.179105,6.6364551,32.003399,.26753977,25.563843,.99822593,15.260249,1.5113649,20.03997,1.1265699,27.38216,1.7924523,30.990372,.25678954
04000US10,Delaware,2012-2016,30.475336,.25523555,19.039595,3.1382613,68.455612,1.1268493,69.146217,1.1525183,21.882774,.56952727,15.06114,.7803967,31.579784,.27917555,11.578947,5.832057,32.460724,.25045177,26.125553,.98222083,15.674202,1.4229857,20.273348,1.1189463,26.508465,1.9103998,31.368416,.23983502
04000US10,Delaware,2013-2017,30.968014,.27571818,19.772635,2.7755392,68.855247,1.1283967,69.439117,1.152069,22.246344,.5267148,14.419171,.69028109,32.17577,.30008733,13.909775,5.3625202,33.084072,.2978467,26.437279,1.0757806,14.270634,1.4953159,19.688444,1.0704454,26.122635,1.5631057,31.859129,.27488729
04000US11,District of Columbia,2005-2009,47.14159,.37881798,48.798077,5.7263265,73.46714,1.7995589,73,1.7869101,21.59827,.41541824,32.874195,1.3252387,48.325626,.42471871,92.459015,15.712272,86.09082,.3732096,26.332336,.61643648,24.445669,1.8377261,33.518173,1.5212649,58.306683,2.353667,81.862404,.17906637
04000US11,District of Columbia,2006-2010,49.195034,.38744271,54.219746,6.3428373,77.55394,1.4461763,77.455811,1.4324906,22.017553,.37780589,35.900784,1.1518756,50.359528,.43328676,82.835823,18.193869,87.086555,.38612744,28.058264,.64211351,29.102457,2.402544,40.196293,1.7728392,60.907364,1.9817786,81.967476,.31823179
04000US11,District of Columbia,2007-2011,50.457088,.41420096,56.646061,6.2001748,79.104675,1.4598268,78.954117,1.4612327,22.544598,.39761135,36.062458,1.3399777,51.75399,.46736914,88.559326,15.282331,88.1418,.38866118,28.760757,.69105381,27.181377,1.8736326,39.949963,1.0374651,62.229694,1.2354347,82.902267,.19290739
04000US11,District of Columbia,2008-2012,51.205708,.40697685,43.59795,5.4601164,78.773674,1.2072344,78.640778,1.2004189,22.835257,.40925652,35.281883,1.142828,52.689541,.45746472,87.606834,15.705323,88.770279,.33981603,29.008949,.67941689,28.277508,1.35675,40.214161,1.0435655,59.902267,1.5730474,83.215294,.22133109
04000US11,District of Columbia,2009-2013,52.354019,.4204528,46.009388,6.1766472,76.254875,1.1812787,76.290314,1.1676812,23.064749,.4013727,39.456089,1.1270133,53.597473,.47361585,73.366837,21.548716,89.160873,.36220077,29.819145,.71400905,27.247063,1.7059999,41.39085,.81334645,63.44278,.56659663,84.400383,.21569878
04000US11,District of Columbia,2010-2014,53.39119,.41314745,41.19558,3.9353161,76.411324,1.1732951,76.622162,1.1780294,23.712063,.40081283,40.536087,1.0981454,54.670399,.46721613,57.948719,18.884039,89.624283,.3163102,30.771488,.70036721,26.375765,1.6168389,42.040501,1.134828,67.750031,5.2425895,85.315659,.17581755
04000US11,District of Columbia,2011-2015,54.576694,.40324664,37.753101,7.8221688,76.500549,1.4604647,76.662964,1.4550685,24.365843,.41816068,41.751465,1.1780592,55.889732,.4605996,64.800003,21.441191,90.47438,.27455714,31.810934,.68241829,25.825897,1.5069151,41.055908,1.2376765,66.943336,1.9446852,86.968597,.1866098
